,parking-lot,type,closest_building
0,['Lot B (Accessible)'],"['Permit, campus recreation']","['Kenmore Centre', 'Harrison Hall', 'Walker Complex', 'South Block', 'Rosalind Blauer Centre for Childcare', 'Arnie Lowenberger Residence', 'Robert S. K. Welch Hall']"
1,['Lot D (Accessible)'],['Visitor'],[]
2,['Flora Egerter Way Parking (Accessible)'],"[' Visitor, metered']","['Cairns Family Health and Bioscience Research Complex', 'Mackenzie Chown Complex', 'Student-Alumni Centre', 'Taro Hall', 'Plaza Building', 'Jack and Nora Canadian Centre for Lifespan Research', 'Brock Campus Store']"
3,['Lot A (Accessible)'],"[' Permit, Zone 1']","['Cairns Family Health and Bioscience Research Complex', 'Mackenzie Chown Complex', 'Student-Alumni Centre', 'Goodman School of Business', 'Plaza Building', 'Jack and Nora Canadian Centre for Lifespan Research', 'Brock Campus Store', 'International Centre,', '573 Glenridge Ave.', 'East Academic']"
4,['Lot E (Accessible)'],[' Visitor'],"['Cairns Family Health and Bioscience Research Complex', 'Mackenzie Chown Complex', 'Student-Alumni Centre', 'Plaza Building', 'Jack and Nora Canadian Centre for Lifespan Research', 'Brock Campus Store', 'International Centre,', '573 Glenridge Ave.', 'East Academic']"
5,['Lot EB (Accessible)'],[' Visitor'],"['International Centre', 'East Academic', '573 Glenridge Ave.', 'Heritage Place Plaza', 'Quarryview Residence']"
6,['Lot EA (Accessible)'],[' Permit'],"['International Centre', 'East Academic', '573 Glenridge Ave.', 'Heritage Place Plaza']"
7,['Lot K (Accessible)'],"[' Special reserved permit or visitor, metered']",[]
8,['Lot M (Accessible)'],"[' Permit, residence (general)']","['Alan Earp Residence', 'Gordon and Betty Vallee Residence', 'Concordia Lutheran Seminary', 'Central Utilities Building', 'Inniskillin Hall', 'Alumni Greenhouse', 'Mackenzie Chown Complex']"
9,['Lot H (Accessible)'],[' Special reserved permit'],[]
10,['Lot Q (Accessible)'],"[' Special reserved permit or visitor, metered']",['Walker Complex']
11,['Lot P (Accessible)'],[' Visitor'],"['Walker Complex', 'Kenmore Centre', 'Harrison Hall', 'Village Residence', 'South Block', 'tennis courts', 'ropes course']"
12,['Lot N'],"[' Special Reserved Permit', '\n']",['Concordia Lutheran Seminary']
13,['University Rd. West Parking (Pay and Display)'],[],[]
14,['University Rd. West Parking â€“ Side of Walker Complex (Accessible)'],[],[]
15,"['Flora Egerter Way Parking (Pay and Display, Honk)']","[' Visitor, metered']","['Cairns Family Health and Bioscience Research Complex', 'Mackenzie Chown Complex', 'Student-Alumni Centre', 'Taro Hall', 'Plaza Building', 'Jack and Nora Canadian Centre for Lifespan Research', 'Brock Campus Store']"
16,['QV Lot (Accessible)'],"[': Permit, residence (general)']","['Quarryview Residence', 'International Centre', 'East Academic', '573 Glenridge Ave.', 'Heritage Place Plaza']"
17,['Lot EB'],[],[]
18,['Lot EA'],[],[]
19,['Lot V (Zone 2)'],[],[]
20,['Lot U (Zone 2)'],[],[]
21,['Lot T (Zone 2)'],[],[]
22,['Zone 3'],[],[]
23,"['Lot Q (Metered Parking, Honk)']","[' Special reserved permit or visitor, metered']",['Walker Complex']
24,"['Lot P (Pay and Display, Honk)']",[' Visitor'],"['Walker Complex', 'Kenmore Centre', 'Harrison Hall', 'Village Residence', 'South Block', 'tennis courts', 'ropes course']"
25,['Lot M'],[],[]
26,['Lot L'],[],[]
27,['Lot K'],"[' Special reserved permit or visitor, metered']",[]
28,['Lot J'],"[' Special reserved permit or visitor, metered', '\n']",[]
29,['Lot H'],"[' Special reserved permit', '\n']",[]
30,['Lot G'],[],[]
31,['Lot F'],"[' Special reserved permit', '\n']",[]
32,"['Lot E (Pay and Display, Honk)']",[],[]
33,"['Lot D (Cash Kiosk, Pay and Display, Honk)']",['Visitor'],[]
34,['Lot C (Honk)'],[],[]
35,['Reserved B'],"['Permit, campus recreation']","['Kenmore Centre', 'Harrison Hall', 'Walker Complex', 'South Block', 'Rosalind Blauer Centre for Childcare', 'Arnie Lowenberger Residence', 'Robert S. K. Welch Hall']"
36,['Zone 1'],"[' Permit, Zone 1']","['Cairns Family Health and Bioscience Research Complex', 'Mackenzie Chown Complex', 'Student-Alumni Centre', 'Goodman School of Business', 'Plaza Building', 'Jack and Nora Canadian Centre for Lifespan Research', 'Brock Campus Store', 'International Centre,', '573 Glenridge Ave.', 'East Academic']"
